body,title
"Некий благотворительный фонд «Воздаяние» заключает соглашения с одинокими стариками, обещая медицинский уход и достойную старость в обмен на квартиру, которая после смерти владельца переходит в собственность фонда.",Доктор Смерть
"Большинство людей все еще интересует по-прежнему животрепещущая тема: как же смог Советский Союз, столь мощная ядерная держава, развалиться настолько быстро? Кто и с какой целью способствовал е падению вплоть до полного разрушения? Получить ответ на этот вопрос можно. Однако для начала нужно узнать ответ на совсем другой вопрос: с какой целью и кем Советский Союз был создан. Именно его вы и получите во время просмотра сериала Россия. XX век. Взгляд на власть.",Россия. ХХ век. Взгляд на власть
"Холодный и расчетливый мир, наполненный жаждой мести и подпитываемый коварством, ополчился против юной и очень хрупкой любви. Переплетение судеб двух семей и цепь трагических случайностей приводят к неожиданной развязке.",Я украду тебя у всего мира
В фильме показаны представители элиты страны 90-х годов.,Элита
Грэйс недовольна жизнью и хочет утопить свою собаку.,Грэйс
"Лена и Сережа Саврасовы на пороге новой жизни – через несколько часов они получат ключи от квартиры в новом доме. В эту квартиру вложены все их сбережения. Чтобы выплатить финальный взнос по ипотеке, молодые два года отказывали себе во всем, ютились в комнате в коммуналке, питались лапшой из пачек. И вот, когда до мечты остается один шаг, жизнь бросает Саврасовым такой вызов, который они вряд ли смогут принять...",Московская пленница
"Каждая серия фильма – это рейс, это встреча с новыми пассажирами, а значит новые судьбы, новые «жизненные» истории, новые проблемы, которые будут разрешаться у нас на глазах, прямо в поезде...",Рельсы счастья
"Однажды в цирке во время выступления иллюзиониста при загадочных обстоятельствах исчезает женщина, а вместе с ней и сам фокусник. Муж пропавшей и дочь факира – в отчаянии. Где же скрывается таинственная парочка? След простыл. Постепенно о них забывают и вокруг этого таинственного исчезновения завязываются новые отношения. А была ли женщина, и был ли фокусник?",Двойная пропажа
"Кино о жизни группы студентов-первокурсников, будущих тележурналистов. Каждый из юных героев фильма пытается по-своему завоевать авторитет среди друзей и педагогов, утвердить себя в студенческом коллективе и профессии.",Будем знакомы!
"В российском курортном городе царит произвол: глава ОБХСС Киреев возглавляет милицейскую мафию. В руки прокурора Рыбкина попадает видеокассета, изобличающая не только Киреева, но и его высокопоставленных покровителей из Москвы...",Чёрный Дьявол
"Олег — заурядный работник офиса. Его серые будни похожи один на другой, а забота о маленьком сыне превратилась в инертное потакание капризам ребенка. Но у Олега есть тайная жизнь — он давно и уверенно сидит на стимуляторах, которые также очень нравятся его любовнице. Наркотики Олег покупает в даркнете и постоянно ездит за закладками. Рассказ пойдет про очередной квест поиска синтетических эмоций, но в этот раз Олег не знает, что его ждет.",Last Quest
"Исследователь внеземной жизни отправляется на поиски метеорита с малознакомой компанией в отдаленный район. Ведомые деревенским проводником, участники экспедиции оказываются в заброшенных местах и лишаются возможности вернуться обратно. Там они сталкиваются с загадочным вирусом, который пробуждает их страхи и заставляет изменить все планы.",Метеорит
"Не желая ни с кем делиться своим прекрасным садом Великан ограждает его от детей. В сад, лишенного детского смеха и игр приходит холод и зима, и только поборов свое эго Великан сможет вернуть свое сокровище.",Себялюбивый великан
"Халима живет в Кении. Это страна бедных, но счастливых людей. Кажется, что здесь вообще нет никаких проблем, потому что люди позитивно относятся ко всему, а все печали гонят прочь. Оборотной стороной этого счастья является высокий уровень насилия. В сознании людей нет разницы между проституткой и жертвой изнасилования. Правоохранители не преследуют насильников, считая, что женщины сами провоцируют мужчин.",Мясная лавка
"Будущее. Обществу потребления пришел конец. Ни лошадей, ни автомобилей. Самым популярным видом транспорта становится велосипед.",Семь пьяниц
"Сотни лет стихия не перестает притягивать людей, и даже в XXI веке она легко выдергивает их из мегаполисов и влюбляет в себя на всю жизнь. Все очень разными путями приходят к океану, но и сделали волны рулевыми своей судьбы. Главный герой, известный российский серфер Сева Шульгин, готовится к воплощению мечты каждого серфера – прокатиться на одной из самых опасных волн в мире, гавайской волне Джоуз (Челюсти).",The Yard. Большая волна
"Виолетта из маленького поселка Атамановка живет в мечтах о личном счастье, а его все нет. Но однажды в небе над Атамановкой появляется комета. Виолетте предсказывают: только сила ее любви сможет спасти мир от неминуемой катастрофы.  И хотя претендентов составить ее личное счастье сразу же становится хоть отбавляй, она все никак не может определиться с выбором.",Виолетта из Атамановки
"У частного детектива Боба Уточкина и его напарника Сержа Волкова новое расследование. Им предстоит распутать очередной клубок преступлений - установить связь между молодым подающим надежды физиком, гражданином Камбоджи и криминальным авторитетом из Сибири; найти документы, проливающие свет на исчезновение в начале прошлого века, так называемого, золота Колчака; предотвратить утечку результатов технических разработок, представляющих огромный интерес для террористической группировки.",Пуля-дура 4
"Тележурнал для фанатов сериалов. Новости, истории создания, репортажи со съемок, интервью с создателями и актерами - максимум интересной информации про самые свежие и популярные сериалы планеты.",Эпизоды
"Учителю истории Жене Касаткину не везет с девушками. Однажды ему в руки попадает волшебный артефакт – Сережка Казановы, дающая возможность своему владельцу заполучить любую женщину, какую он только пожелает. Женя становится объектом женских грез и влюбляется в умопомрачительную красотку Лику. Но со временем он понимает, что его избранница поверхностна и пуста. Однако расстаться с Ликой не так-то просто, ведь она находится под действием Сережки Казановы. В конце концов Жене удается уйти от Лики и он понимает, что его настоящая любовь все время была рядом. Это Марта, девушка, которую Женя знал много лет и считал своим другом. Но Женя не хочет, чтобы Марта полюбила его из-за волшебной сережки, и пытается разными способами избавиться от артефакта. Но Сережка Казановы никак не хочет менять хозяина. С большим трудом Жене удается избавиться от ненавистной волшебной сережки и найти свое счастье с Мартой.",Сережка Казановы
"История непростой судьбы бывшего сотрудника советской разведки, отправленного еще в 80-х годах специальными службами в «вынужденную» эмиграцию. В 90-х годах, в связи с государственными переменами в России, герой самостоятельно пытается выбраться из лабиринта сложнейших проблем, не ожидая, что ему могут оказать поддержку. Его пути пересекаются с российскими и американскими спецслужбами по борьбе с наркомафией, дельцами от наркобизнеса, а также с привлекательной сотрудницей таможни Наташей, у которой внезапно вспыхивают к нему чувства. Наташе предстоит догадаться, кем же является загадочный персонаж по имени Фил Маковский...",Пассажир из Сан-Франциско
"Герой сериала – модный фотограф Кирилл Баженов. Поп-звезды, политики, известные спортсмены почитают за честь принять участие в его фотосессиях. Кирилл невольно оказывается втянутым в криминальные ситуации, в которые попадают герои его фоторабот. Порой Баженов становится даже подозреваемым в уголовных делах. Но чаще ему приходится расследовать запутанные истории. ",Фотограф
"Майор милиции Вадим Гордеев и искусствовед Анна Камю ведут расследование загадочных преступлений, связанных с произведениями искусства прошлого и известными историческими личностями.",Оплачено смертью
"Лев Яшин — творец самых громких побед в истории отечественного футбола. Во время выступлений на футбольном поле именитый вратарь в 270 играх сохранил свои ворота «сухими» и отразил более 150 пенальти. В 1956 году он помог сборной СССР завоевать золото Олимпиады. В 60-е все боссы топ-клубов мечтали заполучить Яшина в команду. Он доминировал в рамках своей эпохи, и до сих пор считается лучшим по всем вратарским рейтингам.",На пьедестале народной любви
"Основан на реальных событиях, которые так и не смогла объяснить современная наука. Каждый из восьми фильмов начинается с исторической справки: о личном астрологе Гитлера, о предсказаниях Григория Распутина и Нострадамуса. Актеры воссоздают поразившие весь мир события, а исследователи и люди со сверхъестественными способностями предлагают свою трактовку этих событий...",Лабиринты разума
"Данный проект относится к тому типу телесериалов, где сюжетообразующим элементом становится профессия главного героя. У нас четыре главные героини. Четыре женщины, Четыре адвоката городской адвокатской конторы. Наши героини постоянно сталкиваются с крайне сложными делами, но их знания, профессиональное мастерство и гражданская самоотверженность позволяют с честью выйти из любой ситуации, защитить интересы их клиентов.",Адвокатессы
"На крыльце клубного ресторана девушка знакомится с молодым человеком и заводит разговор о проблемах из-за больших денег. Но как только узнает, кем тот работает, обрывает знакомство, несмотря на возникшую симпатию. По иронии судьбы молодые люди имеют много общего.",Мой Ламборгини ярко-желтого цвета
Молодой цыган Баро со своей избранницей и русская пара борются с произволом мафии в маленьком приморском приграничном городке. ,Объявлены в розыск
"Мировой тур «Би-2» «Горизонт событий» стартовал осенью 2017 года после выхода одноименной пластинки. За два года группа отыграла около 100 концертов в России, Белоруссии, Прибалтике, Европе и Израиле. В фильме участники «Би-2» и организаторы шоу расскажут о том, как создавался «Горизонт событий» в студии и на сцене — поговорят и об альбоме, и о туре в его поддержку, и о грандиозных московских концертах.",Би-2. Горизонт событий. Documentary
"История обычной семьи страны с высоты кухонной люстры. Как за 40 лет изменился дух времени, его атрибуты, атмосфера дома и члены семьи. ",Дом №15
"Сериал рассказывает о ежедневной работе полицейских, демонстрирует методы расследования, цепочки поиска преступников и многие другие интересные и опасные моменты работы отдела убийств. ",Команда Че
"Два старых жулика, Маркус и Эдуард, которые провели большую часть своей жизни за стенами тюрьмы, выходят на волю. Мир снаружи изменился, и вот они, движимые прошлыми планами и мечтами, желают изменить свою жизнь. Всё происходящее с ними - новая реальность, препятствия и абсурдные ситуации, в которые они попадают - выбивает их из колеи...",Зелёные коты
"Андрей помогает жене организовать девичник сестры в их загородном доме. Вокруг множество женщин, которые считают его обаятельным, симпатичным и забавным, но ему среди них душно. В дверях появляется опоздавшая мать с маленькой девочкой Лерой, которая становится глотком свежего воздуха для Андрея.",Взрослый
"Руководитель машиностроительного завода Павел Короленко рано овдовел и самостоятельно воспитал дочь Евгению. Счастье дочери - главное для Павла. Он мечтает, что Евгения выйдет замуж и подарит ему внука, который будет продолжать семейное дело. Однако девушка с детства мечтает стать инженером-изобретателем и, получив образование, устроиться на работу в бюро выдающегося конструктора Владимира Громыко. Но здесь девушка сталкивается с непониманием: Владимир Громыко считает, что машиностроение - абсолютно не женское дело. И тогда в голову Евгении приходит неожиданная идея. Переодевшись мужчиной, она становится Евгением Кравченко и получает должность инженера в конструкторском бюро. Владимир Громыко и Евгений Кравченко становятся лучшими друзьями. Владимир рад, что у него появился единомышленник, он полностью доверяет «другу Женьке» и даже делает его участником своих веселых холостяцких приключений. Но неожиданно для себя девушка начинает влюбляться в своего руководителя.",Двигатель внутреннего сгорания
"Фильм расcказывает об общественной и частной жизни одного из самых выдающихся современных писателей Захара Прилепина, лауреата премии «Супер Нацбест» 2011.",Захар
"Биатлонистка ради своей заветной мечты – олимпийского золота – решается на «договорную» беременность. Беременность в спорте называют легальным допингом, потому что в начале беременности в организме женщины вырабатываются гормоны, действующие как гормон роста, чьи синтетические аналоги и есть допинг. Биатлонистка беременеет ради победы, но гормоны играют с ней злую шутку – из машины для победы она превращается в женщину, которая хочет любить и быть любимой.",Легальный допинг
"Герои сериала – клиенты обычного салона красоты «Лица». Как водится, приходя в салон, они рассказывают свои, порой самые невероятные истории Любви. В некоторые из них невозможно поверить, другие окажутся лишь плодом их воображения и далеко не все закончатся хэппи-эндом. ",Любовь и прочие глупости
"Миша Голиков без памяти влюблен в самую прекрасную девушку на свете. Полгода ничто не омрачает счастье влюбленных, пока в один прекрасный день не происходит неожиданное знакомство с родителями Юли – генералом Макаром Ильичом и его женой Верой Васильевной. Генерал испытывает Мишу на прочность. Юноша с достоинством выдерживает все испытания, но немного приукрашивает свою биографию. Желая понравиться семье Юли, он красочно описывает богатую приключениями жизнь своих родителей, которых на самом деле у него нет. Невинная ложь приводит к неожиданным последствиям. Генерал настаивает на немедленном знакомстве с семьей Миши. Находчивый молодой человек нанимает профессиональных актеров, которых и представляет в качестве мамы и папы. «Притворщики», желая Мише только лучшего, сами не замечают, как пускают его жизнь под откос.",Притворщики
"Спектакль о таинственном процессе возникновения литературы и литературного образа, который появляется из фактической биографии и из истории повседневности.",Евгений Гришковец: Предисловие
"Феликс Малинин живёт в Санкт-Петербурге. Среди немногочисленных друзей и знакомых он слывёт неплохим парнем, замкнутым чудаком, постоянно пропадающим в служебных командировках. Плюс у него не совсем обычное пристрастие: он очень любит готовить, причем делает это по-настоящему здорово. На самом деле Феликс служит в ОРБ МВД (оперативно-розыскное бюро). О нём знают лишь несколько человек из руководства службы. К выполнению каждого задания он подходит с особым вкусом, будто готовит очередное блюдо и даже для каждой своей операции придумывает кулинарное название. За что и получил оперативный псевдоним «Кулинар». ",Кулинар 2
"Продолжение сериала «Две сестры» о судьбе Вари Демидовой, сумевшей из простой девочки из Свердловска стать чемпионкой по фигурному катанию, и хоккеиста Андрея Стрельникова (Стрельца).",Две сестры 2
"Анна и Николай по-прежнему любят друг друга, они подали заявление в ЗАГС и задумались об общем ребенке. Ради Анны, попавшей в затруднительную ситуацию и задолжавшей большую сумму денег, Николай решает вернуться в большой спорт. И с этого момента они начинают отдаляться друг от друга. Сможет ли истинная любовь преодолеть козни завистников, разорвать цепь ошибок и бросить вызов судьбе?",Все к лучшему 2
"София одинока, смиренна, погружена в себя. Всё её существование подчинено воспитанию сына. Но если она родила лучшего из сыновей и исполнила свой долг материнства, может ли она просить о шансе быть счастливой женщиной?",Блуждающие
"Это телевизионное пособие для всех, кто живет в России. В нашей стране непредсказуемые правила игры и множество подводных камней, о которых важно знать, чтобы получать от жизни удовольствие. «Дураки Дороги Деньги» адресованы всем, кто хочет научиться жить по-русски и не боится лихих виражей на крутых русских горках.Зрители смогут от души посмеяться над сюжетами и героями скетчей практически на любую актуальную тему: бытовые неурядицы в семье, приключения сотрудников ГИБДД, особенности трудовых будней губернатора, приколы в работе воротил отечественного бизнеса, ежедневно подстерегающие российского чиновника опасности...",Дураки. Дороги. Деньги
"Сын егеря после школьного выпускного возвращается домой. В двух шагах от родного дома парень погибает от случайной пули охотников. Егерь Иван и его беременная жена Анна не знают, кто убил их сына, но делают все, чтобы раскрыть тайну.",Анна. Жена егеря
"Отважный бухгалтер Ирина посреди пандемии отправляется в офис, чтобы перевести зарплаты работникам фирмы. Однако её план рушится, когда она встречает охранника Бориса — параноика, который охраняет офис не только от грабителей, но и от самого вируса.",Карантин
"Продолжение приключений журналиста Кирилла Данилова. Героя ждут новые загадки, нераскрытые преступления и неожиданные встречи. Кириллу за тридцать, у него есть семья: жена Вика и дочка. Маленькую Катю отец все еще считает ребенком, поэтому он не всегда одобряет ее манеру одеваться и использование косметики. Зато мама всегда на стороне чада. Конечно, не обходится и без семейных конфликтов, в которых принимает активное участие и теща Кирилла. ",Срочно в номер 2
"Популярная российская актриса Анна Рябинина более десяти лет строит карьеру и живет в Америке. Внезапно она принимает решение вернуться. О причинах и последствиях этого решения Анна задумается уже в Москве. Дома она проведет всего несколько дней, которые станут самыми безумными и важными в ее жизни.",Прощание
Невеселая история спившегося спортсмена.,Красные ворота Расемон
"Загадочный ночной гость-призрак, рожденный фантазией маленького мальчика, умеет превратить каждую ночь в захватывающее приключение и стать мальчику другом, учителем и проводником в новые миры.",Закрой глаза
"Пианист Месяцев, талантливый музыкант и верный семьянин, неожиданно влюбляется в молодую женщину. Она свободна, красива, независима и отвечает ему взаимностью. Месяцеву кажется, что соединившая их страсть, которая,как лавина, сметает все на своем пути, это не дань «кризису среднего возраста», а настоящее большое чувство. Но он жестоко обманулся.",Лавина
Глухая трасса. Автобус. Одному из пассажиров становится плохо. Он выбегает в лес и не возвращается. Остальные решают продолжить путь без него. И только один человек настаивает на поиске пропавшего.,Автобус
"Веб-дизайнер получает анонимное письмо, в котором сообщается: «...в ближайшую субботу вы должны замолчать и больше не должны произносить ни слова». Но в субботу герой забывает о загадочном предостережении...","Человек, который молчал"
"Классическая история Золушки, поднимающейся из низов общества на самый его верх, - вечный сюжет. Провинциальная барышня Настя Каменкова, приезжает в Москву поступать в институт. Провалив экзамены, наивная провинциалка устраивается уборщицей в «Салон красоты» и снимает комнату у старенькой учительницы. Со временем уборщица «вырастает» до директора салона и выходит замуж за крупного финансиста. Вокруг нее творятся темные истории и явный криминал. Любовные интриги переплетаются с детективными.",Салон красоты
"Сериал повествует о буднях майора милиции – очаровательной женщины Александры Старковой. Казалось бы, не женское это дело – ловить преступников. Но Александра Старкова на своем примере опровергает это утверждение. Продолжая семейную традицию, еще в юности она поступает в школу милиции. ",Генеральская внучка
"Вторая мировая война: из Краковского музея украдена картина. Вдогонку за подозреваемым в Северную Африку направлен сыщик. Занзарен, самопровозглашенный художник, живет приморской деревушке и постоянно пишет картины, изображающие трех обнаженных девушек на морском берегу. Расследование идет своим чередом, и действие, происходящие в Северной Африке в конце Второй мировой войны, переплетаются с событиями, имеющими место в современном Баку.",Три девушки
"Скетчком про жизнь героев самых разных интересов и статусов – сумасшедшая экоактивистки, находчивого алкоголика, судьи с приговором за слишком долгое аудио сообщение, бабушки-блогера и малышки-коуча, московских фиф, назойливой бывшей, врача с идеальным почерком и других.",Сториз
"Можно ли укротить женщину, у которой разбито сердце? Алина делает ровно то, что хотел бы сделать каждый, будь у него десяток лишних жизней. Невольным компаньоном сумасшедших поступков Алины становится подросток Денис, с которым она знакомится в полиции.",Токсичная
"Великолепная четверка закадычных друзей ищет и находит приключения на свои головы. Разменяв шестой десяток, они не утратили вкус к жизни. Дня не проходит без того, чтобы кто-то из них не оказался главным действующим лицом какой-нибудь очень пикантной истории…","Бес в ребро, или Великолепная четверка"
"Все начинается в порту Владивостока. Музыкант Илья, решивший, что его группе тесен родной город, мечтает о международном признании, особенно – о премии «Грэмми». Его жизнь меняет случайная встреча с капитаном парусного судна, который предлагает музыканту место на борту. Вскоре Илья и его товарищи по группе Олег, Юрий и Евгений оказываются в настоящем кругосветном путешествии. Маршрут прост: «побывать в тех местах, где любят рок-н-ролл!».",SOS матросу!
"Остросюжетная криминальная сага о женщине, вынужденной пойти на всё ради счастья и благополучия своей семьи. Главная героиня сериала Полина – домохозяйка, чье счастье разрушается в один миг: преступники на глазах сына убивают ее мужа, а брат попадает в тюрьму. Выясняется, что оба участвовали в контрабанде наркотиков и перешли дорогу опасному человеку. На женщину сваливаются проблемы семьи, шантаж со стороны кредиторов, а также бизнес супруга, оказавшийся незаконным. Героине ничего не остается, кроме как найти в себе силы и возглавить преступный бизнес, параллельно разбираясь в том, кто и за что убил ее мужа.",Вдова
"Население Земли поражено неизвестным вирусом. Инфицированные превращаются в одержимых яростью мутантов-людоедов. Спустя год после начала пандемии остаются немногие разрозненные группы выживших. В одну из вылазок за медикаментами и продовольствием члены маленькой группы встречают странную пару — доктор и маленькая девочка. Они безоружны и непонятно, как им удалось выжить.",Проект: Панацея
"В июне 1812 года, форсировав Неман, в Россию хлынула 640-тысячная армия захватчиков, а полгода спустя тот же Неман пересекли, но в обратном направлении, 30 тысяч побитых «завоевателей» — оборванных, еле живых. Войско Наполеона, не знавшее поражений на пространстве от Рейна до Египта, от Лиссабона до Греческого архипелага, от Рима до Балтики, пережило неслыханную в истории военную катастрофу. Нет, русские не «взяли числом». К началу войны Франция вместе с вассалами, снабжавшими ее пушечным мясом, имела вдвое большее население, чем Россия, а русская армия уступала французской по численности в полтора раза.",1812: Энциклопедия великой войны
"Вокруг уникального космического проекта «Гермес» разворачивается международная интрига. А начинается эта история в салоне парижского антиквара Анри Лорана. Рассматривая одну из картин, он находит в раме тайник, а в тайнике – дискету с описанием проекта. Антиквар немедленно связывается с человеком из российского посольства Георгием Турчиным. Но - слишком поздно...",Парижский антиквар
"Конечно, у Дины и раньше случались неприятности. Но жила бы она в своем маленьком провинциальном городке безбедно, если бы не тайные увлечения и криминальные наклонности ее мужа Олега, по кличке Студент. Из-за него Дина попала в настоящую переделку.",Строптивая мишень
"В творческом кризисе находится французский писатель русского происхождения Анри Круазе. Не ладится все: очередной роман не пишется, жена Ирен изменяет с тренером по теннису, тесть и издатель Жильбер «давит», заставляет быстрее писать... А тут еще в России появился какой-то загадочный автор Кристиан Тага, который нагло переделывает романы Анри на российский лад и печатает их крупным тиражом...",Бульварный переплет
"Митя Панин - талантливый, но слабовольный человек. Маститый писатель Алексей Степанович Говоров, лауреат Нобелевской премии, связывает с ним надежды на будущее, считает своим преемником. Но его огорчает, что парень разменивает талант на всякую литературную мелочевку. Союз писателей собирается праздновать 30-летие со дня издания говоровского романа «Самозванцы»...",Самозванцы
"Он проведет с ней ночь. А утром сыграет с ней в игру, где ставкой будут их жизни.",Затоваренная бочкотара
"Анина мама Валентина уходит ненадолго в собес и пропадает без следа. Наши герои сбиваются с ног, пытаясь отыскать ее, подозревают, что ее похитили – хотя кто и зачем будет похищать пожилую женщину из небогатой семьи? Выясняется, что Валентина недавно продала дачный участок за подозрительно большие деньги. Ее муж Глеб подозревает, что ее мог похитить сын соседки по даче, чтобы потребовать выкуп. Но это было бы слишком просто…",Женщина в беде 4
